"SamAccountName","Enabled"
"wiseitusn318","False"
"wiseitusn157","False"
"wiseitusn329","False"
"wiseitusn446","False"
"TesteSupCan11","False"
"wiseitusn135","False"
"wiseitusn309","False"
"USN_0800Net_Cad_Clie","False"
"wiseitusn047","False"
"wiseitusn051","False"
"wiseitusn270","False"
"wiseitusn256","False"
"wiseitusn039","False"
"wiseitusn128","False"
"USN_0800Net_Inc_Cli","False"
"wiseitusn441","False"
"wiseitusn251","False"
"USN_0800Net_tb_indi","False"
"wiseitusn380","False"
"wiseitusn131","False"
"TesteSupGas02","False"
"wiseitusn005","False"
"wiseitusn470","False"
"wiseitusn395","False"
"TesteSupCan18","False"
"TesteSupCan02","False"
"wiseitusn403","False"
"TesteSupCan19","False"
"wiseitusn019","False"
"wiseitusn277","False"
"TesteSupGas01","False"
"wiseitusn145","False"
"wiseitusn104","False"
"TesteSupCan05","False"
"USN_0800Net_CC_RCGra","False"
"wiseitusn317","False"
"TesteSupCan12","False"
"wiseitusn081","False"
"wiseitusn225","False"
"TesteSupCan03","False"
"div_hx","False"
"aq_ativo_fixo","False"
"wiseitusn390","False"
"wiseitusn007","False"
"TesteSupCan10","False"
"wiseitusn488","False"
"con-aksantos","True"
"wiseitusn003","False"
"wiseitusn160","False"
"wiseitusn206","False"
"wiseitusn485","False"
"wiseitusn066","False"
"TesteSupCan09","False"
"wiseitusn376","False"
"wiseitusn437","False"
"wiseitusn093","False"
"wiseitusn385","False"
"wiseitusn245","False"
"wiseitusn242","False"
"wiseitusn442","False"
"wiseitusn167","False"
"wiseitusn112","False"
"wiseitusn062","False"
"wiseitusn060","False"
"wiseitusn306","False"
"wiseitusn324","False"
"wiseitusn234","False"
"wiseitusn315","False"
"wiseitusn125","False"
"wiseitusn143","False"
"_tz0agent","True"
"wiseitusn259","False"
"wiseitusn255","False"
"wiseitusn361","False"
"wiseitusn420","False"
"wiseitusn452","False"
"wiseitusn183","False"
"wiseitusn476","False"
"wiseitusn345","False"
"wiseitusn014","False"
"wiseitusn246","False"
"wiseitusn477","False"
"wiseitusn303","False"
"wiseitusn453","False"
"TesteSupCan08","False"
"TesteSupGas06","False"
"USN_0800Net_CP_GV","False"
"wiseitusn462","False"
"wiseitusn176","False"
"TesteSupGas07","False"
"wiseitusn156","False"
"wiseitusn404","False"
"wiseitusn124","False"
"wiseitusn484","False"
"TesteSupCan25","False"
"wiseitusn078","False"
"wiseitusn091","False"
"wiseit-altprofer_hml","False"
"wiseitusn467","False"
"wiseitusn301","False"
